tab,src_object,src_field,eda_object,eda_field_name,edf_object,edf_field_name,transform
EDA Program Enrollment,admissionHistory/admitType/description,description,hed__Program_Enrollment__c,zBU_Admit_Type__c,LearnerProgram,zBU_Admit_Type__c,"Admit Type currently comes in array with each PE, and maps to PE records. / See Tech Design for logic that populates the Contact records."
EDA Program Enrollment,admissionHistory/applicationPrograms/actionDate,actionDate,hed__Program_Enrollment__c,zBU_Mutual_Accept_Date__c,AcademicTermEnrollment,EnrollmentDate,"FIELD: ACTION_DT / WHERE PROG_ACTION = 'DEIN' AND PROG_REASON = 'RPPD' on ADM_APPL_PROG / Additional note from Robyn: the DEIN row may not be the current effective dated row because a MATR can be stacked on top."
EDA Program Enrollment,studentSemesterInfo/v2/academicCareer/code,code,hed__Program_Enrollment__c,zBU_Student_Type__c,LearnerProgram,zBU_Student_Type__c,"UGRD='Undergraduate' / MEDS='Medical' / LAW='Law' / NONC='Non-Credit' / GRAD='Graduate' / DENT='Dental' / NOND='Non-Degree' / Logic from TDD: / 1. Select the degreeProgram row where isCurrentAcademicProgram='Y' and programCareerNumber equals careerNumber / 2. Use academicCareer/code / If student is term activated in multiple careers, create a separate row for each Career and Term."
EDA Program Enrollment,studentSemesterInfo/degreeProgram/v2/program/code,code,hed__Program_Enrollment__c,zBU_Academic_Program_Code__c,LearnerProgram,zBU_Academic_Program_Code__c,"Academic Program Codes, 5 digit limit"
EDA Program Enrollment,studentSemesterInfo/degreeProgram/registrationStatus/code,code,hed__Program_Enrollment__c,zBU_ProgramStatus__c,LearnerProgram,Status,"For description purposes only: / AC (Active in Program) / AD (Admitted) / AP (Applicant) / CN (Cancelled) / CM (Completed Program) / DC (Discontinued) / DE (Deceased) / LA (Leave of Absence) / PM (Prematriculant) / WT (Waitlisted) / SP (Suspended) / DM (Dismissed) / Logic from TDD: / 1. Select the degreeProgram row where isCurrentAcademicProgram='Y' and programCareerNumber equals careerNumber / 2. Use registrationStatus/code."
EDA Program Enrollment,studentSemesterInfo/degreeProgram/action/code,code,hed__Program_Enrollment__c,zBU_ProgramAction__c,LearnerProgram,zBU_Program_Action__c,"For description purposes only: / ACTV (Activate) / WADM (Administrative Withdrawal) / COMP (Completion of Program) / DEFR (Defer Enrollment) / DATA (Data Change) / PRGC (Program Change) / PLNC (Plan Change) / DISM (Dismissal) / DISC (Discontinuation) / LEAV (Leave of Absence) / RADM (Readmit) / RLOA (Return from Leave of Absence) / REVK (Revoke Degree) / SPND (Suspension) / TRAN (Transfer to Other Career) / ADRV (Admission Revocation) / MATR (Matriculation) / Logic from TDD: / 1. Select the degreeProgram row where isCurrentAcademicProgram='Y' and programCareerNumber equals careerNumber / 2. Use action/code."
EDA Program Enrollment,studentSemesterInfo/degreeProgram/v2/effectiveDate,effectiveDate,hed__Program_Enrollment__c,zBU_Effective_Date__c,LearnerProgram,zBU_Effective_Date__c,""
EDA Program Enrollment,studentSemesterInfo/certificationApproved/code,code,hed__Program_Enrollment__c,hed__Enrollment_Status__c,AcademicTermEnrollment,EnrollmentStatus,"F = Full-Time / H = Half-Time / L = Less 1/2 / N = No Units / P = Part-Time"
EDA Program Enrollment,studentSemesterInfo/v2/academicLevelDescription,academicLevelDescription,hed__Program_Enrollment__c,hed__Class_Standing__c,AcademicTermEnrollment,StudyYearClassification,"Per TDD: / If student is term activated in multiple careers, create a separate row for each Career and Term."
EDA Program Enrollment,studentSemesterInfo/degreeProgram/v2/admitTermDescription,admitTermDescription,hed__Program_Enrollment__c,zBU_Admit_Term__c,LearnerProgram,zBU_Admit_Term__c,"Admit Term in CDM is on degreeProgram but also on admissionHistory/applicationPrograms; believe we have been using the degreeProgram to date. / The Contact Object shall reflect a singular value for a student's currently active career. / In the event a student record carries multiple Admit Term values in the same Career, the value from the earliest-dated active program shall be displayed / For students concurrently active in multiple careers of differing values, the Contact Object shall display a singular Admit Term value in the following order of career precedence: / 1. Undergraduate / 2. Graduate / 3. Non-degree"
